Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
257,Dante Exum,9600000,Cap Space,2018-19,23,UTA,NBA,15.8,11.2,42,1,664,5.5,13.1,4.5,9.7,1,3.4,3.7,4.7,0.9,2.8,3.7,6,0.8,0.3,2.8,3.7,15.6,0.419,0.464,0.29,0.456,0.791,0.516
258,Kyle Korver,3440000,0,2018-19,37,TOT,NBA,19.1,11.2,70,0,1334,5.4,13,1.7,3.6,3.7,9.4,1.6,2,0.2,4.1,4.4,2.2,0.7,0.3,1.6,2.9,16.2,0.416,0.467,0.397,0.559,0.822,0.582
259,Matthew Dellavedova,9607500,Cap Space,2018-19,28,TOT,NBA,16.9,11.1,48,0,812,4.3,10.7,2.4,5,2,5.8,1.9,2.3,0.3,3.1,3.4,8,0.6,0.1,3,3.3,12.5,0.405,0.482,0.338,0.496,0.808,0.532
260,Will Barton,12960000,0,2018-19,28,DEN,NBA,27.7,11,43,38,1189,5.6,13.9,3.6,8,2,5.9,1.7,2.2,1,5.1,6,3.8,0.5,0.7,2,2.5,15,0.402,0.447,0.342,0.475,0.77,0.501
261,James Ennis,1882867,0,2018-19,28,TOT,NBA,21.2,11,58,27,1230,4,8.6,2.4,4,1.6,4.6,1.7,2.4,1.8,3.6,5.3,1.2,1.2,0.7,1,4.4,11.4,0.469,0.601,0.353,0.563,0.716,0.59
262,Dorian Finney-Smith,4000000,0,2018-19,25,DAL,NBA,24.5,11,81,26,1985,4.1,9.6,2.7,5,1.4,4.6,1.3,1.9,2.5,4.6,7.1,1.7,1.3,0.7,1.3,3.4,11,0.432,0.544,0.311,0.507,0.709,0.53
263,Juan Hernangómez,3321030,1st Round pick,2018-19,23,DEN,NBA,19.4,11,70,25,1358,3.7,8.3,1.9,3.5,1.7,4.8,1.7,2.3,1.7,5.3,7,1.5,0.7,0.6,1,2.5,10.8,0.439,0.541,0.365,0.545,0.767,0.58
264,Cory Joseph,12000000,0,2018-19,27,IND,NBA,25.2,11,82,9,2063,3.9,9.6,3,6.6,1,3,0.5,0.8,0.7,4.2,4.9,5.6,1.6,0.4,1.4,2.3,9.4,0.412,0.454,0.322,0.463,0.698,0.474
265,Rodions Kurucs,1699236,0,2018-19,20,BRK,NBA,20.5,11,63,46,1294,5.6,12.5,4,7.4,1.6,5.1,2,2.6,1.6,5.3,6.8,1.4,1.1,0.7,2.1,4.1,14.9,0.45,0.543,0.315,0.514,0.783,0.545
266,Landry Shamet,1995120,1st Round Pick,2018-19,21,TOT,NBA,22.8,11,79,27,1802,4.8,11.1,1.5,3.2,3.3,7.9,1.5,1.9,0.4,2.3,2.7,2.3,0.7,0.2,0.9,3.1,14.4,0.431,0.453,0.422,0.581,0.806,0.604
268,Sterling Brown,1618520,MLE,2018-19,23,MIL,NBA,17.8,10.9,58,7,1034,5,10.9,3.2,5.7,1.8,5.1,1,1.5,1,5.4,6.4,2.9,0.9,0.3,1.6,3.1,13,0.465,0.558,0.361,0.55,0.69,0.563
